"region";"coderegion";"aireZPS"
"Ile-de-France";"11";88084
"Champagne-Ardenne";"21";257971
"Picardie";"22";87811
"Haute-Normandie";"23";202584
"Centre";"24";347383
"Basse-Normandie";"25";286699
"Bourgogne";"26";224614
"Nord-Pas-de-Calais";"31";202289
"Lorraine";"41";125558
"Alsace";"42";109432
"Franche-Comte";"43";225935
"Pays-de-la-Loire";"52";522814
"Bretagne";"53";490716.3
"Poitou-Charentes";"54";1146414
"Aquitaine";"72";730624
"Midi-Pyrenees";"73";157991
"Limousin";"74";112751
"Rhone-Alpes";"82";284069
"Auvergne";"83";294837
"Languedoc-Roussillon";"91";854670
"Provence-Alpes-Cote-d'Azur";"93";739562
"Corse";"94";407270.6
